Students,,,
,,,
student_id,full_name,city,phone
1001,Dev Khan,Delhi,900225970
1002,Dia Kapoor,Jaipur,909520025
1003,Anika Reddy,Mumbai,905873584
1004,Zara Shah,Faridabad,904234001
1005,Aarav Bansal,Bengaluru,900552352
1006,Yash Mehta,Jaipur,909330001
1007,Ishita Reddy,Jaipur,904333289
1008,Veer Reddy,Gurgaon,907862736
1009,Meera Kapoor,Pune,906536233
1010,Dia Bansal,Gurgaon,901603674
1011,Ira Verma,Jaipur,909477329
1012,Dia Kapoor,Jaipur,900467345
1013,Yash Patel,Pune,901680380
1014,Ayaan Malik,Pune,907507088
1015,Mira Gupta,Mumbai,907518336
1016,Dev Shah,Pune,900774815
1017,Aarav Shah,Delhi,902134217
1018,Sara Mehta,Delhi,908153024
1019,Mira Bose,Pune,900386804
1020,Aman Reddy,Lucknow,908427942
1021,Anika Roy,Noida,909798166
1022,Nina Malik,Jaipur,901773152
1023,Ira Bansal,Lucknow,901170499
1024,Anika Agarwal,Noida,902546783
1025,Zara Roy,Gurgaon,906391870
1026,Om Kapoor,Jaipur,907520762
1027,Aman Gupta,Lucknow,905715307
1028,Nitin Sharma,Lucknow,909692208
1029,Om Mehta,Mumbai,909357297
1030,Ayaan Bose,Delhi,902225779
1031,Vihaan Roy,Gurgaon,901994198
1032,Mira Malik,Bengaluru,900831243
1033,Anika Verma,Ghaziabad,908016789
1034,Tara Reddy,Delhi,901141343
1035,Yash Bose,Faridabad,902567851
1036,Nina Malik,Gurgaon,900049112
1037,Aman Bansal,Delhi,907262888
1038,Rohan Verma,Ghaziabad,905672293
1039,Kabir Patel,Ghaziabad,902911979
1040,Rohan Agarwal,Noida,903002714
